ID,time_segment_id,view_label,Direction,videos,Vehicle_Count,Avg_Speed_kmh,Max_Speed_kmh,Min_Speed_kmh,Speed_Range_kmh,Speed_Std_kmh,Avg_Brightness_Value,Day_Night_Label
3523_Norman_Niles_#2_exit_rating,3523,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-23-45.mp4,12,5.82,7.91,3.58,4.33,1.13,150.9,Day
3524_Norman_Niles_#2_entry_rating,3524,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-24-45.mp4,17,1.76,4.82,0.54,4.28,1.27,149.69,Day
3524_Norman_Niles_#2_exit_rating,3524,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-24-45.mp4,14,5.76,8.26,0.07,8.2,1.92,149.69,Day
3525_Norman_Niles_#2_entry_rating,3525,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-25-45.mp4,14,3.83,15.03,0.38,14.65,4.76,149.19,Day
3525_Norman_Niles_#2_exit_rating,3525,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-25-45.mp4,15,6.16,11.12,0.89,10.22,2.52,149.19,Day
3526_Norman_Niles_#2_entry_rating,3526,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-26-45.mp4,17,2.83,8.11,0.4,7.71,2.26,149.48,Day
3526_Norman_Niles_#2_exit_rating,3526,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-26-45.mp4,14,5.51,8.12,1.37,6.75,1.71,149.48,Day
3527_Norman_Niles_#2_entry_rating,3527,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-27-45.mp4,6,1.4,3.85,0.06,3.79,1.38,150.35,Day
3527_Norman_Niles_#2_exit_rating,3527,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-27-45.mp4,12,5.35,7.59,1.56,6.03,1.77,150.35,Day
3528_Norman_Niles_#2_entry_rating,3528,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-28-45.mp4,15,2.89,13.33,0.15,13.19,3.57,149.74,Day
3528_Norman_Niles_#2_exit_rating,3528,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-28-45.mp4,12,5.96,8.43,2.33,6.1,1.62,149.74,Day
3529_Norman_Niles_#2_entry_rating,3529,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-29-45.mp4,15,1.63,4.88,0.42,4.46,1.16,151.13,Day
3529_Norman_Niles_#2_exit_rating,3529,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-29-45.mp4,9,6.18,9.53,1.37,8.15,2.32,151.13,Day
3530_Norman_Niles_#2_entry_rating,3530,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-30-45.mp4,8,1.77,4.09,0.51,3.58,1.15,151.18,Day
3530_Norman_Niles_#2_exit_rating,3530,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-30-45.mp4,11,6.43,11.91,3.46,8.45,2.31,151.18,Day
3531_Norman_Niles_#2_entry_rating,3531,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-31-45.mp4,8,3.36,15.0,0.09,14.91,4.97,151.41,Day
3531_Norman_Niles_#2_exit_rating,3531,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-31-45.mp4,17,4.42,8.96,0.11,8.85,3.2,151.41,Day
3532_Norman_Niles_#2_entry_rating,3532,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-32-45.mp4,16,1.31,3.03,0.27,2.76,0.87,150.11,Day
3532_Norman_Niles_#2_exit_rating,3532,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-32-45.mp4,12,5.0,8.41,0.37,8.04,2.75,150.11,Day
3533_Norman_Niles_#2_entry_rating,3533,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-33-45.mp4,15,1.44,3.34,0.29,3.06,0.88,149.15,Day
3533_Norman_Niles_#2_exit_rating,3533,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-33-45.mp4,11,4.83,6.24,0.3,5.94,1.64,149.15,Day
3534_Norman_Niles_#2_entry_rating,3534,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-34-45.mp4,14,2.55,6.97,0.32,6.65,2.12,150.66,Day
3534_Norman_Niles_#2_exit_rating,3534,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-34-45.mp4,12,5.72,11.0,0.89,10.11,2.46,150.66,Day
3535_Norman_Niles_#2_entry_rating,3535,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-35-45.mp4,12,1.3,3.98,0.4,3.58,1.01,150.65,Day
3535_Norman_Niles_#2_exit_rating,3535,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-35-45.mp4,12,6.25,7.84,3.95,3.88,1.13,150.65,Day
3536_Norman_Niles_#2_entry_rating,3536,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-36-45.mp4,19,1.19,3.14,0.17,2.97,0.76,150.52,Day
3536_Norman_Niles_#2_exit_rating,3536,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-36-45.mp4,13,5.31,9.51,0.24,9.27,2.35,150.52,Day
3537_Norman_Niles_#2_entry_rating,3537,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-37-45.mp4,24,1.75,7.28,0.16,7.13,1.78,138.14,Day
3537_Norman_Niles_#2_exit_rating,3537,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-37-45.mp4,11,6.02,11.93,0.13,11.8,3.08,138.14,Day
3538_Norman_Niles_#2_entry_rating,3538,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-38-45.mp4,17,1.94,8.53,0.15,8.38,2.52,136.53,Day
3538_Norman_Niles_#2_exit_rating,3538,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-38-45.mp4,12,4.25,6.8,0.08,6.71,2.44,136.53,Day
3539_Norman_Niles_#2_entry_rating,3539,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-39-45.mp4,23,1.58,6.06,0.14,5.92,1.64,139.48,Day
3539_Norman_Niles_#2_exit_rating,3539,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-39-45.mp4,18,5.14,8.08,1.19,6.9,1.89,139.48,Day
3540_Norman_Niles_#2_entry_rating,3540,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-40-45.mp4,10,2.32,4.21,0.09,4.12,1.27,136.73,Day
3540_Norman_Niles_#2_exit_rating,3540,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-40-45.mp4,16,6.73,14.55,2.14,12.41,2.73,136.73,Day
3541_Norman_Niles_#2_entry_rating,3541,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-41-45.mp4,14,1.98,4.76,0.25,4.51,1.28,150.22,Day
3541_Norman_Niles_#2_exit_rating,3541,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-41-45.mp4,17,6.1,8.66,1.76,6.9,2.03,150.22,Day
3542_Norman_Niles_#2_entry_rating,3542,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-42-45.mp4,9,2.29,8.89,0.44,8.44,2.67,148.26,Day
3542_Norman_Niles_#2_exit_rating,3542,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-42-45.mp4,10,5.27,7.78,1.25,6.53,2.38,148.26,Day
3543_Norman_Niles_#2_entry_rating,3543,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-43-45.mp4,12,1.65,5.35,0.31,5.05,1.71,145.01,Day
3543_Norman_Niles_#2_exit_rating,3543,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-43-45.mp4,15,5.07,7.57,0.33,7.24,2.26,145.01,Day
3544_Norman_Niles_#2_entry_rating,3544,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-44-45.mp4,9,2.41,15.4,0.19,15.2,4.91,137.74,Day
3544_Norman_Niles_#2_exit_rating,3544,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-44-45.mp4,12,5.29,12.0,1.33,10.67,2.59,137.74,Day
3545_Norman_Niles_#2_entry_rating,3545,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-45-45.mp4,9,2.55,3.96,0.63,3.33,1.17,142.06,Day
3545_Norman_Niles_#2_exit_rating,3545,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-45-45.mp4,12,6.48,10.48,1.3,9.18,2.63,142.06,Day
3546_Norman_Niles_#2_entry_rating,3546,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-46-45.mp4,13,2.2,5.55,0.21,5.34,1.49,151.58,Day
3546_Norman_Niles_#2_exit_rating,3546,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-46-45.mp4,7,5.62,7.16,1.6,5.56,1.93,151.58,Day
3547_Norman_Niles_#2_entry_rating,3547,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-47-45.mp4,8,2.82,8.97,0.62,8.36,3.06,149.65,Day
3547_Norman_Niles_#2_exit_rating,3547,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-47-45.mp4,14,6.22,9.37,1.77,7.59,1.8,149.65,Day
3548_Norman_Niles_#2_entry_rating,3548,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-48-45.mp4,11,1.26,5.32,0.08,5.24,1.89,138.16,Day
3548_Norman_Niles_#2_exit_rating,3548,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-48-45.mp4,10,5.96,9.59,1.66,7.93,2.0,138.16,Day
3549_Norman_Niles_#2_entry_rating,3549,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-49-45.mp4,18,1.36,3.58,0.12,3.47,1.1,136.34,Day
3549_Norman_Niles_#2_exit_rating,3549,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-49-45.mp4,15,5.43,8.84,1.05,7.8,2.36,136.34,Day
3550_Norman_Niles_#2_entry_rating,3550,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-50-45.mp4,12,1.58,5.11,0.26,4.85,1.28,136.94,Day
3550_Norman_Niles_#2_exit_rating,3550,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-50-45.mp4,13,5.76,9.83,0.33,9.49,2.27,136.94,Day
3551_Norman_Niles_#2_entry_rating,3551,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-51-45.mp4,11,1.44,3.11,0.46,2.65,0.94,147.36,Day
3551_Norman_Niles_#2_exit_rating,3551,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-51-45.mp4,9,4.48,6.13,0.53,5.61,1.87,147.36,Day
3552_Norman_Niles_#2_entry_rating,3552,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-52-45.mp4,9,0.86,1.23,0.48,0.76,0.29,145.37,Day
3552_Norman_Niles_#2_exit_rating,3552,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-52-45.mp4,14,5.95,9.26,0.33,8.93,2.17,145.37,Day
3553_Norman_Niles_#2_entry_rating,3553,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-53-45.mp4,25,2.81,19.5,0.41,19.09,4.21,150.5,Day
3553_Norman_Niles_#2_exit_rating,3553,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-53-45.mp4,13,5.29,8.61,0.55,8.05,1.95,150.5,Day
3554_Norman_Niles_#2_entry_rating,3554,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-54-45.mp4,10,5.14,13.72,0.23,13.49,4.81,150.57,Day
3554_Norman_Niles_#2_exit_rating,3554,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-54-45.mp4,16,5.75,8.38,3.81,4.57,1.15,150.57,Day
3555_Norman_Niles_#2_entry_rating,3555,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-55-45.mp4,12,3.93,12.98,0.76,12.22,4.28,141.69,Day
3555_Norman_Niles_#2_exit_rating,3555,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-55-45.mp4,12,6.17,9.33,1.26,8.06,1.97,141.69,Day
3556_Norman_Niles_#2_entry_rating,3556,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-56-45.mp4,5,7.19,12.36,2.98,9.37,3.78,138.88,Day
3556_Norman_Niles_#2_exit_rating,3556,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-56-45.mp4,18,5.87,9.27,1.6,7.67,2.31,138.88,Day
3557_Norman_Niles_#2_entry_rating,3557,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-57-45.mp4,11,1.47,4.66,0.27,4.39,1.33,150.33,Day
3557_Norman_Niles_#2_exit_rating,3557,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-57-45.mp4,9,6.06,8.09,4.54,3.55,1.47,150.33,Day
3558_Norman_Niles_#2_entry_rating,3558,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-58-45.mp4,25,1.35,4.13,0.2,3.93,0.99,149.96,Day
3558_Norman_Niles_#2_exit_rating,3558,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-58-45.mp4,19,5.55,9.12,0.59,8.53,2.1,149.96,Day
3559_Norman_Niles_#2_entry_rating,3559,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-24-17-59-45.mp4,21,1.64,6.32,0.1,6.22,1.58,149.83,Day
3559_Norman_Niles_#2_exit_rating,3559,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-24-17-59-45.mp4,14,5.11,14.84,0.1,14.74,3.76,149.83,Day
3575_Norman_Niles_#2_entry_rating,3575,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-15-45.mp4,0,0.0,0.0,0.0,0.0,0.0,72.76,Night
3575_Norman_Niles_#2_exit_rating,3575,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-15-45.mp4,1,6.72,6.72,6.72,0.0,0.0,72.76,Night
3576_Norman_Niles_#2_entry_rating,3576,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-16-45.mp4,0,0.0,0.0,0.0,0.0,0.0,72.16,Night
3576_Norman_Niles_#2_exit_rating,3576,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-16-45.mp4,0,0.0,0.0,0.0,0.0,0.0,72.16,Night
3577_Norman_Niles_#2_entry_rating,3577,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-17-45.mp4,3,5.38,7.51,3.66,3.85,1.96,72.12,Night
3577_Norman_Niles_#2_exit_rating,3577,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-17-45.mp4,0,0.0,0.0,0.0,0.0,0.0,72.12,Night
3578_Norman_Niles_#2_entry_rating,3578,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-18-45.mp4,1,6.15,6.15,6.15,0.0,0.0,71.91,Night
3578_Norman_Niles_#2_exit_rating,3578,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-18-45.mp4,1,7.93,7.93,7.93,0.0,0.0,71.91,Night
3579_Norman_Niles_#2_entry_rating,3579,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-19-45.mp4,3,6.02,9.79,2.22,7.57,3.79,72.0,Night
3579_Norman_Niles_#2_exit_rating,3579,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-19-45.mp4,1,7.14,7.14,7.14,0.0,0.0,72.0,Night
3580_Norman_Niles_#2_entry_rating,3580,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-20-45.mp4,5,7.49,11.42,4.79,6.63,2.49,72.92,Night
3580_Norman_Niles_#2_exit_rating,3580,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-20-45.mp4,0,0.0,0.0,0.0,0.0,0.0,72.92,Night
3581_Norman_Niles_#2_entry_rating,3581,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-21-45.mp4,1,4.81,4.81,4.81,0.0,0.0,71.88,Night
3581_Norman_Niles_#2_exit_rating,3581,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-21-45.mp4,0,0.0,0.0,0.0,0.0,0.0,71.88,Night
3582_Norman_Niles_#2_entry_rating,3582,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-22-45.mp4,3,5.72,9.62,1.4,8.21,4.12,72.16,Night
3582_Norman_Niles_#2_exit_rating,3582,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-22-45.mp4,0,0.0,0.0,0.0,0.0,0.0,72.16,Night
3583_Norman_Niles_#2_entry_rating,3583,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-23-45.mp4,3,5.49,7.16,4.33,2.83,1.48,72.29,Night
3583_Norman_Niles_#2_exit_rating,3583,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-23-45.mp4,0,0.0,0.0,0.0,0.0,0.0,72.29,Night
3584_Norman_Niles_#2_entry_rating,3584,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-24-45.mp4,3,6.24,9.98,2.13,7.85,3.94,73.34,Night
3584_Norman_Niles_#2_exit_rating,3584,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-24-45.mp4,1,6.39,6.39,6.39,0.0,0.0,73.34,Night
3585_Norman_Niles_#2_entry_rating,3585,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-25-45.mp4,1,5.7,5.7,5.7,0.0,0.0,72.83,Night
3585_Norman_Niles_#2_exit_rating,3585,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-25-45.mp4,0,0.0,0.0,0.0,0.0,0.0,72.83,Night
3586_Norman_Niles_#2_entry_rating,3586,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-26-45.mp4,9,5.95,9.4,3.1,6.3,1.92,72.78,Night
3586_Norman_Niles_#2_exit_rating,3586,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-26-45.mp4,2,8.17,8.62,7.73,0.88,0.62,72.78,Night
3587_Norman_Niles_#2_entry_rating,3587,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-27-45.mp4,2,5.86,5.93,5.8,0.13,0.09,71.97,Night
3587_Norman_Niles_#2_exit_rating,3587,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-27-45.mp4,0,0.0,0.0,0.0,0.0,0.0,71.97,Night
3588_Norman_Niles_#2_entry_rating,3588,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-28-45.mp4,2,5.49,6.62,4.37,2.25,1.59,72.13,Night
3588_Norman_Niles_#2_exit_rating,3588,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-28-45.mp4,0,0.0,0.0,0.0,0.0,0.0,72.13,Night
3589_Norman_Niles_#2_entry_rating,3589,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-29-45.mp4,2,3.31,3.56,3.06,0.5,0.35,72.02,Night
3589_Norman_Niles_#2_exit_rating,3589,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-29-45.mp4,0,0.0,0.0,0.0,0.0,0.0,72.02,Night
3590_Norman_Niles_#2_entry_rating,3590,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-30-45.mp4,2,7.5,8.11,6.89,1.22,0.86,72.09,Night
3590_Norman_Niles_#2_exit_rating,3590,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-30-45.mp4,0,0.0,0.0,0.0,0.0,0.0,72.09,Night
3591_Norman_Niles_#2_entry_rating,3591,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-31-45.mp4,2,7.75,8.93,6.58,2.35,1.66,72.05,Night
3591_Norman_Niles_#2_exit_rating,3591,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-31-45.mp4,1,6.54,6.54,6.54,0.0,0.0,72.05,Night
3592_Norman_Niles_#2_entry_rating,3592,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-32-45.mp4,3,1.49,2.13,1.14,0.99,0.56,72.46,Night
3592_Norman_Niles_#2_exit_rating,3592,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-32-45.mp4,0,0.0,0.0,0.0,0.0,0.0,72.46,Night
3593_Norman_Niles_#2_entry_rating,3593,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-33-45.mp4,3,8.34,9.46,6.57,2.89,1.55,72.19,Night
3593_Norman_Niles_#2_exit_rating,3593,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-33-45.mp4,0,0.0,0.0,0.0,0.0,0.0,72.19,Night
3594_Norman_Niles_#2_entry_rating,3594,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-34-45.mp4,0,0.0,0.0,0.0,0.0,0.0,71.66,Night
3594_Norman_Niles_#2_exit_rating,3594,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-34-45.mp4,2,5.64,6.29,4.99,1.3,0.92,71.66,Night
3595_Norman_Niles_#2_entry_rating,3595,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-35-45.mp4,1,2.31,2.31,2.31,0.0,0.0,71.78,Night
3595_Norman_Niles_#2_exit_rating,3595,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-35-45.mp4,0,0.0,0.0,0.0,0.0,0.0,71.78,Night
3596_Norman_Niles_#2_entry_rating,3596,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-36-45.mp4,2,4.83,6.73,2.94,3.8,2.68,72.74,Night
3596_Norman_Niles_#2_exit_rating,3596,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-36-45.mp4,1,7.09,7.09,7.09,0.0,0.0,72.74,Night
3597_Norman_Niles_#2_entry_rating,3597,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-37-45.mp4,2,6.6,6.68,6.51,0.17,0.12,72.11,Night
3597_Norman_Niles_#2_exit_rating,3597,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-37-45.mp4,1,6.17,6.17,6.17,0.0,0.0,72.11,Night
3598_Norman_Niles_#2_entry_rating,3598,Norman Niles #2,ENTRY,normanniles2/normanniles2_2025-10-25-06-38-45.mp4,0,0.0,0.0,0.0,0.0,0.0,71.92,Night
3598_Norman_Niles_#2_exit_rating,3598,Norman Niles #2,EXIT,normanniles2/normanniles2_2025-10-25-06-38-45.mp4,0,0.0,0.0,0.0,0.0,0.0,71.92,Night
